id,judul,genre,cover_url
1,Laskar Pelangi,Drama Inspiratif Pendidikan,https://images.unsplash.com/photo-1544947950-fa07a98d237f?q=80&w=400
2,Bumi Manusia,Drama Sejarah Romantis,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=400
3,Negeri 5 Menara,Drama Inspiratif Pendidikan,https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=400
4,Filosofi Kopi,Fiksi Antologi Filosofi,https://images.unsplash.com/photo-1532012197267-da84d127e765?q=80&w=400
5,Dilan 1990,Romantis Remaja Drama,https://images.unsplash.com/photo-1495640388908-05fa85288e61?q=80&w=400
6,Supernova,Fiksi Ilmiah Filosofi Romantis,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=400
7,Pulang,Drama Sejarah Politik,https://images.unsplash.com/photo-1614849963640-9cc74b2a826f?q=80&w=400
8,Mariposa,Romantis Remaja Komedi,https://images.unsplash.com/photo-1516979187457-637abb4f9353?q=80&w=400
9,Gadis Kretek,Drama Sejarah Budaya,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?q=80&w=400
10,Laut Bercerita,Drama Sejarah Politik Tradisi,https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=400
11,Perahu Kertas,Romantis Drama Seni,https://images.unsplash.com/photo-1495640388908-05fa85288e61?q=80&w=400
12,Ronggeng Dukuh Paruk,Drama Sejarah Budaya Tradisi,https://images.unsplash.com/photo-1614849963640-9cc74b2a826f?q=80&w=400
13,Sabtu Bersama Bapak,Drama Keluarga Inspiratif,https://images.unsplash.com/photo-1544947950-fa07a98d237f?q=80&w=400
14,Critical Eleven,Romantis Drama Metropolis,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=400
15,5 Cm,Petualangan Inspiratif Persahabatan,https://images.unsplash.com/photo-1532012197267-da84d127e765?q=80&w=400
16,Sherlock Holmes,Misteri Detektif Kriminal,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=400
17,Aroma Karsa,Fiksi Misteri Budaya Fantasi,https://images.unsplash.com/photo-1516979187457-637abb4f9353?q=80&w=400
18,Harry Potter,Fantasi Sihir Petualangan,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?q=80&w=400
19,Anak Semua Bangsa,Drama Sejarah Romantis,https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=400
20,Kancil dan Buaya,Edukasi Fabel Anak,https://images.unsplash.com/photo-1495640388908-05fa85288e61?q=80&w=400
21,Atomic Habits,Pengembangan Diri Motivasi Bisnis,https://images.unsplash.com/photo-1544947950-fa07a98d237f?q=80&w=400
22,Filosofi Teras,Pengembangan Diri Filosofi Mental,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=400
23,Rich Dad Poor Dad,Bisnis Finansial Motivasi,https://images.unsplash.com/photo-1532012197267-da84d127e765?q=80&w=400
24,Sapiens,Sejarah Sains Manusia,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=400
25,Bicara Itu Ada Seninya,Pengembangan Diri Komunikasi,https://images.unsplash.com/photo-1516979187457-637abb4f9353?q=80&w=400
26,Sebuah Seni Untuk Bersikap Bodo Amat,Pengembangan Diri Mental Psikologi,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?q=80&w=400
27,Dunia Sophie,Fiksi Filosofi Sejarah,https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=400
28,The Lean Startup,Bisnis Manajemen Inovasi,https://images.unsplash.com/photo-1495640388908-05fa85288e61?q=80&w=400
29,Start With Why,Bisnis Kepemimpinan Motivasi,https://images.unsplash.com/photo-1614849963640-9cc74b2a826f?q=80&w=400
30,Zero to One,Bisnis Startup Teknologi,https://images.unsplash.com/photo-1544947950-fa07a98d237f?q=80&w=400
31,Psychology of Money,Finansial Psikologi Pengembangan Diri,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=400
32,Garis Waktu,Romantis Drama Puisi,https://images.unsplash.com/photo-1532012197267-da84d127e765?q=80&w=400
33,Hujan,Fiksi Ilmiah Drama Romantis,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=400
34,Pulang Pergi,Aksi Komedi Drama,https://images.unsplash.com/photo-1516979187457-637abb4f9353?q=80&w=400
35,Selamat Tinggal,Drama Finansial Kriminal,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?q=80&w=400